epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1173.96,1.10855,0.64801,0.88978,0.53487,0.45506,0.4531,0.27276,1.13378,0.82021,0.85848,0.000299982,0.000299982,0.000299982
43,1201.79,1.0959,0.64663,0.88976,0.60755,0.43936,0.47327,0.28456,1.12492,0.81117,0.85507,0.000289884,0.000289884,0.000289884
44,1229.53,1.0894,0.63509,0.88962,0.58102,0.46072,0.47659,0.2868,1.12575,0.80546,0.85554,0.000279786,0.000279786,0.000279786
45,1257.51,1.09844,0.62073,0.87854,0.5875,0.46539,0.47911,0.28933,1.12759,0.80372,0.85955,0.000269688,0.000269688,0.000269688
46,1285.55,1.03662,0.60214,0.87681,0.59744,0.44967,0.48114,0.2909,1.13687,0.80017,0.86106,0.00025959,0.00025959,0.00025959
47,1313.7,1.05598,0.61182,0.87442,0.58924,0.45919,0.47594,0.28623,1.14033,0.81144,0.85953,0.000249492,0.000249492,0.000249492
48,1341.58,1.07365,0.60545,0.87477,0.5712,0.47652,0.48092,0.28749,1.13962,0.81704,0.86225,0.000239394,0.000239394,0.000239394
49,1369.27,1.05855,0.60657,0.88443,0.60281,0.4549,0.48511,0.29599,1.12473,0.81676,0.85674,0.000229296,0.000229296,0.000229296
50,1397.55,1.05137,0.58992,0.86868,0.59538,0.46222,0.48761,0.29682,1.13756,0.81256,0.8617,0.000219198,0.000219198,0.000219198
51,1425.69,1.02514,0.56626,0.87014,0.59558,0.46601,0.48041,0.29019,1.1287,0.81431,0.86012,0.0002091,0.0002091,0.0002091
52,1453.6,1.05843,0.58899,0.87171,0.59878,0.47126,0.48806,0.29585,1.13562,0.82763,0.85813,0.000199002,0.000199002,0.000199002
53,1481.38,1.04774,0.57555,0.86623,0.60016,0.45573,0.48377,0.29393,1.13069,0.81816,0.85843,0.000188904,0.000188904,0.000188904
54,1509.22,1.03541,0.5704,0.86649,0.58435,0.46178,0.47808,0.2891,1.14247,0.81714,0.86274,0.000178806,0.000178806,0.000178806
55,1537.16,1.00431,0.55507,0.8673,0.62231,0.45904,0.49072,0.29611,1.13856,0.81537,0.86193,0.000168708,0.000168708,0.000168708
56,1564.93,1.04346,0.56559,0.8624,0.64617,0.44844,0.49144,0.29748,1.12874,0.82133,0.85871,0.00015861,0.00015861,0.00015861
57,1593.04,1.00163,0.55126,0.86783,0.63288,0.44836,0.48411,0.29552,1.12439,0.82436,0.85699,0.000148512,0.000148512,0.000148512
58,1620.88,1.02015,0.56011,0.86492,0.61778,0.45778,0.4898,0.2966,1.12892,0.81734,0.86034,0.000138414,0.000138414,0.000138414
59,1648.63,0.99977,0.54868,0.86225,0.63849,0.43562,0.48999,0.29849,1.12272,0.81983,0.85797,0.000128316,0.000128316,0.000128316
60,1676.57,0.99245,0.5368,0.86609,0.57239,0.45775,0.47852,0.29104,1.12541,0.83624,0.85934,0.000118218,0.000118218,0.000118218
61,1704.62,1.00644,0.54698,0.86895,0.59453,0.46382,0.47547,0.2893,1.13366,0.83767,0.86392,0.00010812,0.00010812,0.00010812
62,1731.69,0.99988,0.53302,0.86119,0.56608,0.46716,0.47216,0.28458,1.13731,0.83422,0.86328,9.8022e-05,9.8022e-05,9.8022e-05
63,1758.7,0.99297,0.52973,0.85698,0.5655,0.47065,0.48203,0.29255,1.12956,0.82408,0.86115,8.7924e-05,8.7924e-05,8.7924e-05
64,1785.74,0.96786,0.51872,0.8603,0.59503,0.45926,0.48107,0.29115,1.13847,0.82331,0.86313,7.7826e-05,7.7826e-05,7.7826e-05
65,1813,0.96337,0.51143,0.85708,0.62454,0.437,0.4793,0.28885,1.13329,0.83091,0.86382,6.7728e-05,6.7728e-05,6.7728e-05
66,1840.07,0.91575,0.48564,0.84998,0.58613,0.45439,0.47757,0.28778,1.13368,0.83475,0.86284,5.763e-05,5.763e-05,5.763e-05
67,1867.16,0.96812,0.50256,0.85686,0.60021,0.44584,0.47784,0.28887,1.13569,0.83318,0.86232,4.7532e-05,4.7532e-05,4.7532e-05
68,1894.2,0.92817,0.48438,0.84939,0.57607,0.4647,0.4826,0.293,1.13394,0.83366,0.86287,3.7434e-05,3.7434e-05,3.7434e-05
69,1921.32,0.93068,0.48279,0.84891,0.60946,0.4522,0.482,0.29215,1.13379,0.83572,0.86415,2.7336e-05,2.7336e-05,2.7336e-05
70,1948.35,0.91861,0.48365,0.84668,0.62761,0.44465,0.48131,0.29298,1.13399,0.83493,0.86462,1.7238e-05,1.7238e-05,1.7238e-05
